district_name,num_transactions,transaction_amount_rupees,year,state_name,quarter
tirupathur district,9593808,15560586651.0,2023,tamil-nadu,3
ariyalur district,2234365,4165786934.0,2023,tamil-nadu,3
chennai district,64423156,85198861679.0,2023,tamil-nadu,3
the nilgiris district,4389794,6660469419.0,2023,tamil-nadu,3
erode district,12692404,20094330371.0,2023,tamil-nadu,3
karur district,4645330,8254505815.0,2023,tamil-nadu,3
kallakkurichi district,6738805,11725838306.0,2023,tamil-nadu,3
viluppuram district,6820072,10726776823.0,2023,tamil-nadu,3
pudukkottai district,4193425,8433778209.0,2023,tamil-nadu,3
perambalur district,2216919,3902611011.0,2023,tamil-nadu,3
coimbatore district,46819743,60549050278.0,2023,tamil-nadu,3
virudhunagar district,6477489,11660283716.0,2023,tamil-nadu,3
dindigul district,10715292,20100190663.0,2023,tamil-nadu,3
sivaganga district,4384045,8742909537.0,2023,tamil-nadu,3
tenkasi district,3762715,7601348511.0,2023,tamil-nadu,3
chengalpattu district,57523688,66789071996.0,2023,tamil-nadu,3
kanniyakumari district,7070401,13670833040.0,2023,tamil-nadu,3
tirunelveli district,7051947,12111549020.0,2023,tamil-nadu,3
thiruvallur district,54066131,73751421782.0,2023,tamil-nadu,3
theni district,5696912,11056097531.0,2023,tamil-nadu,3
ranipet district,7030037,11226066349.0,2023,tamil-nadu,3
namakkal district,9156806,16684400956.0,2023,tamil-nadu,3
vellore district,12442326,20076925544.0,2023,tamil-nadu,3
thiruvarur district,2562438,4869347513.0,2023,tamil-nadu,3
tiruchirappalli district,13546386,23130655906.0,2023,tamil-nadu,4
ramanathapuram district,4196969,8083975191.0,2023,tamil-nadu,4
krishnagiri district,38716127,58128403055.0,2023,tamil-nadu,4
cuddalore district,10061731,15883322354.0,2023,tamil-nadu,4
kancheepuram district,35825274,42324947809.0,2023,tamil-nadu,4
tiruppur district,33312329,40204687126.0,2023,tamil-nadu,4
dharmapuri district,15564980,28313365775.0,2023,tamil-nadu,4
thoothukkudi district,6834131,10944724787.0,2023,tamil-nadu,4
thanjavur district,7754898,13817285904.0,2023,tamil-nadu,4
madurai district,16710432,30065725377.0,2023,tamil-nadu,4
tiruvannamalai district,11492348,18827186868.0,2023,tamil-nadu,4
